user_id,position,item_id,split
0,0,9449,train
0,1,9839,train
0,2,10076,train
0,3,11155,train
0,4,11752,val
0,5,11863,test
1,0,3309,train
1,1,4572,train
1,2,9079,train
1,3,4136,train
1,4,10955,val
1,5,58,test
2,0,4208,train
2,1,4386,train
2,2,6362,train
2,3,453,train
2,4,5665,train
2,5,8649,train
2,6,8876,train
2,7,9404,val
2,8,10253,test
3,0,8968,train
3,1,10130,train
3,2,8823,train
3,3,8650,train
3,4,10147,train
3,5,3495,train
3,6,9766,val
3,7,10320,test
4,0,8935,train
4,1,5097,train
4,2,8071,train
4,3,8346,train
4,4,10162,train
4,5,8823,val
4,6,10227,test
5,0,3614,train
5,1,9884,train
5,2,3905,train
5,3,8661,train
5,4,8029,train
5,5,2713,train
5,6,6004,train
5,7,9211,train
5,8,4643,train
5,9,7449,val
5,10,9200,test
6,0,9580,train
6,1,9621,train
6,2,9766,train
6,3,9856,val
6,4,10925,test
7,0,5380,train
7,1,456,train
7,2,2419,train
7,3,4276,train
7,4,2938,train
7,5,3767,val
7,6,3081,test
8,0,4184,train
8,1,598,train
8,2,1177,train
8,3,947,train
8,4,7856,val
8,5,2921,test
9,0,6606,train
9,1,7861,train
9,2,9559,train
9,3,10265,train
9,4,8607,train
9,5,1520,train
9,6,6605,train
9,7,7396,train
9,8,7788,train
9,9,7848,train
9,10,8465,train
9,11,8612,train
9,12,10041,train
9,13,10363,train
9,14,10321,train
9,15,5180,train
9,16,5849,train
9,17,8481,train
9,18,7523,train
9,19,9493,train
9,20,3093,val
9,21,7921,test
10,0,10841,train
10,1,3530,train
10,2,277,train
10,3,1218,train
10,4,4234,train
10,5,5023,val
10,6,7041,test
11,0,10112,train
11,1,454,train
11,2,10093,train
11,3,1189,train
11,4,3312,val
11,5,8747,test
12,0,3226,train
12,1,4194,train
12,2,4195,train
12,3,8042,train
12,4,10573,train
12,5,10579,train
12,6,11233,train
12,7,11348,val
12,8,11792,test
13,0,5062,train
13,1,6968,train
13,2,7297,train
13,3,6230,train
13,4,5094,val
13,5,5526,test
14,0,186,train
14,1,3513,train
14,2,8198,train
14,3,10286,val
14,4,1674,test
15,0,663,train
15,1,2243,train
15,2,2645,train
15,3,7223,val
15,4,8843,test
16,0,6280,train
16,1,8823,train
16,2,11360,train
16,3,12,train
16,4,7121,train
16,5,9431,train
16,6,10034,train
16,7,10229,val
16,8,10608,test
17,0,8445,train
17,1,9193,train
17,2,9194,train
17,3,10257,val
17,4,10346,test
18,0,2161,train
18,1,81,train
18,2,5999,train
18,3,7359,val
18,4,7755,test
19,0,6308,train
19,1,7294,train
19,2,436,train
19,3,6788,val
19,4,7655,test
20,0,4504,train
20,1,2099,train
20,2,4747,train
20,3,4957,val
20,4,9416,test
21,0,330,train
21,1,331,train
21,2,2016,train
21,3,2034,val
21,4,3473,test
22,0,4060,train
22,1,7228,train
22,2,8825,train
22,3,10761,val
22,4,10797,test
23,0,1415,train
23,1,5014,train
23,2,5015,train
23,3,7771,val
23,4,9913,test
24,0,5604,train
24,1,5144,train
24,2,6049,train
24,3,9777,train
24,4,14,val
24,5,9561,test
25,0,11148,train
25,1,5489,train
25,2,5522,train
25,3,8879,val
25,4,11452,test
26,0,270,train
26,1,10084,train
26,2,276,train
26,3,4667,train
26,4,8683,train
26,5,9368,train
26,6,10597,train
26,7,3231,train
26,8,8582,train
26,9,8823,val
26,10,10855,test
27,0,6726,train
27,1,8568,train
27,2,10510,train
27,3,10995,val
27,4,11137,test
28,0,5039,train
28,1,1823,train
28,2,3403,train
28,3,4732,train
28,4,8989,train
28,5,10002,val
28,6,10941,test
29,0,6902,train
29,1,6992,train
29,2,8470,train
29,3,6943,train
29,4,2846,train
29,5,687,train
29,6,6250,train
29,7,7116,train
29,8,9030,train
29,9,9946,train
29,10,10544,train
29,11,184,train
29,12,359,train
29,13,6310,train
29,14,4562,val
29,15,8121,test
30,0,9228,train
30,1,6333,train
30,2,1879,train
30,3,5180,train
30,4,5193,train
30,5,8242,val
30,6,9533,test
31,0,2244,train
31,1,3802,train
31,2,10238,train
31,3,10777,train
31,4,641,train
31,5,6677,train
31,6,7247,val
31,7,9400,test
32,0,3142,train
32,1,406,train
32,2,2308,train
32,3,4064,val
32,4,6800,test
33,0,5305,train
33,1,23,train
33,2,10453,train
33,3,925,val
33,4,1989,test
34,0,466,train
34,1,490,train
34,2,2243,train
34,3,4309,train
34,4,4504,train
34,5,8217,train
34,6,9194,val
34,7,8484,test
35,0,10807,train
35,1,8299,train
35,2,10372,train
35,3,10373,train
35,4,5090,train
35,5,5091,train
35,6,6388,train
35,7,5089,train
35,8,5092,train
35,9,10756,train
35,10,2053,train
35,11,2310,train
35,12,11810,train
35,13,11765,train
35,14,11777,train
35,15,6434,train
35,16,11734,train
35,17,11902,train
35,18,11763,train
35,19,2732,train
35,20,12025,val
35,21,11819,test
36,0,2924,train
36,1,7817,train
36,2,3113,train
36,3,3703,val
36,4,4696,test
37,0,6848,train
37,1,8558,train
37,2,9584,train
37,3,9589,train
37,4,9591,train
37,5,10527,train
37,6,10560,train
37,7,3714,train
37,8,10689,train
37,9,10916,train
37,10,10557,train
