user_id,user_raw_id,train_seq_len,train_sequence,val_item_id,test_item_id
0,A00414041RD0BXM6WK0GX,4,9449 9839 10076 11155,11752,11863
1,A00473363TJ8YSZ3YAGG9,4,3309 4572 9079 4136,10955,58
2,A00700212KB3K0MVESPIY,7,4208 4386 6362 453 5665 8649 8876,9404,10253
3,A0078719IR14X3NNUG0F,6,8968 10130 8823 8650 10147 3495,9766,10320
4,A01198201H0E3GHV2Z17I,5,8935 5097 8071 8346 10162,8823,10227
5,A02155413BVL8D0G7X6DN,9,3614 9884 3905 8661 8029 2713 6004 9211 4643,7449,9200
6,A02849582PREZYNEI31CV,3,9580 9621 9766,9856,10925
7,A029527620Q3SK5XW16RR,5,5380 456 2419 4276 2938,3767,3081
8,A03236882LUP4ARMDDMXU,4,4184 598 1177 947,7856,2921
9,A03364251DGXSGA9PSR99,20,6606 7861 9559 10265 8607 1520 6605 7396 7788 7848 8465 8612 10041 10363 10321 5180 5849 8481 7523 9493,3093,7921
10,A0388397363MZHRU6ALSX,5,10841 3530 277 1218 4234,5023,7041
11,A042274212BJJVOBS4Q85,4,10112 454 10093 1189,3312,8747
12,A04371222UWPCRS81JO2Z,7,3226 4194 4195 8042 10573 10579 11233,11348,11792
13,A0459829SI5B5WIOZZHX,4,5062 6968 7297 6230,5094,5526
14,A0508779FEO1DUNOSQNX,3,186 3513 8198,10286,1674
15,A05306962T0DL4FS2RA7L,3,663 2243 2645,7223,8843
16,A059547920Q3LZVFHLPI3,7,6280 8823 11360 12 7121 9431 10034,10229,10608
17,A0614215ICIJ7IVV472R,3,8445 9193 9194,10257,10346
18,A06298653TJ91G7R7MD6R,3,2161 81 5999,7359,7755
19,A0647567NOSE5H95OBQ2,3,6308 7294 436,6788,7655
20,A06586901ZOUBJS3R268N,3,4504 2099 4747,4957,9416
21,A0733801U845JJGV4H8V,3,330 331 2016,2034,3473
22,A07420391OVT9BFTVMUOI,3,4060 7228 8825,10761,10797
23,A08409921GVN7C8RD97CV,3,1415 5014 5015,7771,9913
24,A0864963DOAY7LXGS5I6,4,5604 5144 6049 9777,14,9561
25,A090214335ZYBWI945UJI,3,11148 5489 5522,8879,11452
26,A0908131Z7BWYSMRQ16T,9,270 10084 276 4667 8683 9368 10597 3231 8582,8823,10855
27,A09149312G3TQJJF59GC8,3,6726 8568 10510,10995,11137
28,A09386383518NVR7RSA4F,5,5039 1823 3403 4732 8989,10002,10941
29,A099766128UI0NCS98N1E,14,6902 6992 8470 6943 2846 687 6250 7116 9030 9946 10544 184 359 6310,4562,8121
30,A100E9O4Z9BP4Q,5,9228 6333 1879 5180 5193,8242,9533
31,A100L918633LUO,6,2244 3802 10238 10777 641 6677,7247,9400
32,A100LIFNJYZWW7,3,3142 406 2308,4064,6800
33,A100UD67AHFODS,3,5305 23 10453,925,1989
34,A100VQNP6I54HS,6,466 490 2243 4309 4504 8217,9194,8484
35,A100WO06OQR8BQ,20,10807 8299 10372 10373 5090 5091 6388 5089 5092 10756 2053 2310 11810 11765 11777 6434 11734 11902 11763 2732,12025,11819
36,A100X30Z2GCTEM,3,2924 7817 3113,3703,4696
37,A100ZQDV7L8PVV,15,6848 8558 9584 9589 9591 10527 10560 3714 10689 10916 10557 11903 10726 11614 3603,7135,9783
38,A1010QRG4BH51B,9,5185 5324 5325 5393 6494 7723 5801 6031 7651,7531,8968
39,A101E37WFPUEII,3,9734 10003 5518,8966,8968
40,A101Q13OPIP7ZR,3,2463 6857 6861,6864,9386
41,A10207079F09W5HTL0Q6,4,5521 2512 5022 6396,6401,9687
42,A10220YORA6MUU,6,5976 5986 9033 10631 11185 4548,8989,9076
43,A1022QCIW8Z720,11,892 11410 8634 3562 5131 8149 10105 11248 10434 2037 7129,8226,6460
