window,user_raw_id,user_id,position,item_id
W3,A2B7BUH8834Y6M,7721,0,19
W3,A2B7BUH8834Y6M,7721,1,69
W3,A2B7BUH8834Y6M,7721,2,16
W3,A2B7BUH8834Y6M,7721,3,428
W3,A281NPSIMI1C2R,7187,0,103
W3,A281NPSIMI1C2R,7187,1,100
W3,A281NPSIMI1C2R,7187,2,101
W3,A281NPSIMI1C2R,7187,3,22
W3,A281NPSIMI1C2R,7187,4,115
W3,A281NPSIMI1C2R,7187,5,316
W3,A281NPSIMI1C2R,7187,6,326
W3,A281NPSIMI1C2R,7187,7,157
W3,A281NPSIMI1C2R,7187,8,255
W3,A281NPSIMI1C2R,7187,9,739
W3,A281NPSIMI1C2R,7187,10,128
W3,A281NPSIMI1C2R,7187,11,493
W3,A281NPSIMI1C2R,7187,12,261
W3,A281NPSIMI1C2R,7187,13,492
W3,A281NPSIMI1C2R,7187,14,98
W3,AK7CAW3N1XZV6,19848,0,29
W3,AK7CAW3N1XZV6,19848,1,2541
W3,AK7CAW3N1XZV6,19848,2,161
W3,A1SBVY5DX5ZKUX,4565,0,35
W3,A1SBVY5DX5ZKUX,4565,1,51
W3,A1K5DUV1L52MUD,3244,0,559
W3,A1K5DUV1L52MUD,3244,1,841
W3,A1K5DUV1L52MUD,3244,2,46
W3,A1K5DUV1L52MUD,3244,3,58
W3,A2D914K7LL3TM0,8085,0,46
W3,AXJTNYD3UK1BP,21977,0,58
W3,AXJTNYD3UK1BP,21977,1,75
W3,A3M174IC0VXOS2,15464,0,4940
W3,A3M174IC0VXOS2,15464,1,1025
W3,A3M174IC0VXOS2,15464,2,61
W3,A3M174IC0VXOS2,15464,3,4850
W3,A3M174IC0VXOS2,15464,4,172
W3,A3M174IC0VXOS2,15464,5,3393
W3,A3M174IC0VXOS2,15464,6,988
W3,A3M174IC0VXOS2,15464,7,98
W3,A3M174IC0VXOS2,15464,8,289
W3,A3M174IC0VXOS2,15464,9,2130
W3,A3M174IC0VXOS2,15464,10,391
W3,A3M174IC0VXOS2,15464,11,1072
W3,A3M174IC0VXOS2,15464,12,1579
W3,A3M174IC0VXOS2,15464,13,5009
W3,A3M174IC0VXOS2,15464,14,419
W3,A1Z54EM24Y40LL,5703,0,666
W3,A1Z54EM24Y40LL,5703,1,69
W3,A1AMVA4R3G58TV,1725,0,81
W3,A1AMVA4R3G58TV,1725,1,184
W3,A1AMVA4R3G58TV,1725,2,188
W3,A3N6JG64P2G9EV,15643,0,118
W3,A2IQ2DVZK4YZCW,8960,0,147
W3,A3RGN75LHYAG8U,16382,0,150
W3,AWIF8AR75LL9L,21814,0,151
W3,A1IU7S4HCK1XK0,3038,0,174
W3,A1IU7S4HCK1XK0,3038,1,203
W3,A1IU7S4HCK1XK0,3038,2,849
W3,AN81JUYW2SL24,20353,0,175
W3,AQNDWV4YMTBZF,20868,0,3403
W3,AQNDWV4YMTBZF,20868,1,240
W3,A1UGYU7MRZXXMJ,4897,0,335
