src_item_id,dst_item_id,relation
0,11137,also_viewed
0,11137,also_bought
0,10002,also_viewed
0,10002,bought_together
0,10002,also_bought
0,10513,also_viewed
0,10513,also_bought
0,8814,also_bought
0,10995,also_bought
0,10511,also_bought
0,8777,also_viewed
0,8777,also_bought
0,5288,also_bought
0,11721,also_bought
0,11522,also_bought
0,11024,also_bought
0,10278,also_bought
0,11389,also_bought
0,7758,also_bought
0,7723,also_bought
0,8568,also_bought
0,11187,also_bought
0,7223,also_bought
0,11443,also_bought
0,11240,also_bought
0,6288,also_bought
0,7436,also_viewed
0,7436,also_bought
0,9991,also_bought
0,8699,also_viewed
0,8699,also_bought
0,8896,also_bought
0,11386,also_bought
0,11194,also_bought
0,5311,also_bought
0,8454,also_bought
0,5181,also_viewed
0,9955,also_viewed
0,5180,also_viewed
1,8000,also_viewed
1,8000,bought_together
1,8000,also_bought
1,7999,also_viewed
1,7999,also_bought
1,9143,also_viewed
1,9143,also_bought
1,8516,also_viewed
1,8516,also_bought
1,10403,also_viewed
1,10403,also_bought
1,2420,also_viewed
1,2420,also_bought
1,5286,also_viewed
1,5286,also_bought
1,9382,also_bought
1,9233,also_viewed
1,9233,also_bought
1,5257,also_viewed
1,5257,also_bought
1,9142,also_viewed
1,9142,also_bought
1,1927,also_viewed
1,1927,also_bought
1,9207,also_viewed
1,9207,also_bought
1,8326,also_viewed
1,8326,also_bought
1,10427,also_bought
1,9234,also_bought
1,5316,also_bought
1,1718,also_bought
1,1871,also_bought
1,3125,also_bought
1,10002,also_bought
1,2474,also_bought
1,11255,also_bought
1,7650,also_bought
1,7978,also_bought
1,5925,also_bought
1,8260,also_bought
1,3117,also_bought
1,8473,also_bought
1,4762,also_bought
1,9013,also_bought
1,7651,also_bought
1,1379,also_bought
1,5180,also_bought
1,3662,also_viewed
2,809,also_viewed
2,1595,also_viewed
2,1117,also_viewed
2,1056,also_viewed
3,3145,also_viewed
3,3145,also_bought
3,917,also_viewed
3,917,bought_together
3,917,also_bought
3,2540,also_viewed
3,2540,also_bought
3,4596,also_bought
3,10259,also_bought
3,2990,also_bought
3,5475,also_bought
3,1077,also_viewed
3,1077,also_bought
3,1268,also_bought
3,776,also_bought
3,3053,also_viewed
3,3053,also_bought
3,2415,also_bought
3,2544,also_bought
3,1595,also_bought
3,1913,also_bought
3,2545,also_viewed
4,917,also_viewed
5,3764,also_viewed
5,3764,also_bought
5,1210,also_viewed
5,1210,also_bought
5,3763,also_viewed
5,3763,also_bought
5,9346,also_viewed
5,9346,also_bought
5,1604,also_viewed
5,1604,also_bought
5,4759,also_bought
5,6820,also_bought
5,9611,also_bought
5,2359,also_bought
5,2651,also_bought
5,11605,also_bought
5,10977,also_bought
5,11419,also_bought
5,291,also_viewed
5,3349,also_viewed
5,8689,also_viewed
5,5980,also_viewed
6,7,also_viewed
6,7,also_bought
7,6,also_viewed
7,6,also_bought
7,9090,also_bought
8,9,also_viewed
8,9,also_bought
8,5496,also_viewed
8,5496,also_bought
8,8365,also_viewed
8,8365,also_bought
8,7459,also_bought
8,2769,also_bought
8,4160,also_viewed
9,8,also_viewed
9,8,also_bought
9,5496,also_viewed
9,5496,also_bought
9,4161,also_bought
9,7458,also_bought
9,8365,also_viewed
10,1795,also_bought
10,134,also_bought
10,134,bought_together
10,161,also_bought
10,7675,also_bought
10,6569,also_bought
10,4953,also_bought
10,4357,also_bought
10,2051,also_bought
10,569,also_viewed
10,569,also_bought
10,4511,also_bought
10,2113,also_bought
10,3571,also_bought
10,10813,also_bought
10,5408,also_viewed
10,7913,also_viewed
10,7912,also_viewed
10,709,also_viewed
10,209,also_viewed
10,7717,also_viewed
10,1547,also_viewed
10,4874,also_viewed
10,6885,also_viewed
10,9004,also_viewed
