item_id,asin,l2_norm,mean,std,min,max,text_length
0,7806397051,1.376986,0.000208,0.030434,-0.298174,0.282967,1037
1,9759091062,1.30089,-2.7e-05,0.028753,-0.246655,0.187238,264
2,9788072216,1.279164,0.000721,0.028264,-0.287223,0.268913,787
3,9790790961,1.293261,0.001325,0.028554,-0.251661,0.226673,610
4,9790794231,1.49344,0.001459,0.032976,-0.26437,0.181755,116
5,B00004TMFE,1.467961,0.001198,0.032423,-0.344182,0.376892,914
6,B00004TUBL,1.176162,0.000442,0.025992,-0.249704,0.263887,762
7,B00004TUBV,1.22072,0.000294,0.026979,-0.300818,0.283058,1236
8,B00004U9UY,1.198916,0.000365,0.026497,-0.248576,0.27522,943
9,B00004U9V2,1.288851,0.000538,0.028482,-0.271083,0.221121,366
10,B000050B6U,1.17923,1.3e-05,0.026064,-0.281038,0.296097,1150
11,B000052WY7,1.275361,0.000917,0.028174,-0.211828,0.157264,199
12,B000052WYD,1.421437,0.001023,0.031401,-0.328337,0.246028,467
13,B000052WYL,1.459611,0.000538,0.032257,-0.275776,0.190246,226
14,B000052WYN,1.337765,0.000786,0.029557,-0.260028,0.202608,244
15,B000052X9G,1.200056,-0.000236,0.026523,-0.283787,0.205053,599
16,B000052XIA,1.266045,0.000381,0.02798,-0.281088,0.239199,1136
17,B000052XW5,1.218549,-0.000101,0.026933,-0.235114,0.248588,469
18,B000052XYQ,1.39227,0.000501,0.030769,-0.303931,0.237529,484
19,B000052XZP,1.41673,0.000273,0.031312,-0.27585,0.172897,95
20,B000052XZX,1.309417,0.000527,0.028937,-0.285719,0.223501,877
21,B000052Y25,1.263105,-0.000187,0.027917,-0.265504,0.181709,365
22,B000052Y33,1.284192,-0.000305,0.028382,-0.263589,0.239125,658
23,B000052Y5F,1.415106,9.2e-05,0.031277,-0.305004,0.205099,248
24,B000052Y6Z,1.551255,0.000121,0.034286,-0.297194,0.24416,145
25,B000052YJC,1.242668,0.000138,0.027466,-0.276914,0.265975,1071
26,B000052YJD,1.368614,-2.2e-05,0.03025,-0.320192,0.244945,854
27,B000052YJH,1.459883,0.000281,0.032266,-0.355945,0.279956,445
28,B000052YJM,1.431944,0.000563,0.031644,-0.259634,0.208635,282
29,B000052YJX,1.214214,0.00035,0.026835,-0.227171,0.25075,730
30,B000052YKI,1.229598,0.000408,0.027174,-0.235539,0.257329,692
31,B000052YKM,1.288587,0.000165,0.028481,-0.290211,0.212868,372
32,B000052YKS,1.617514,0.000723,0.035744,-0.405624,0.292508,514
33,B000052YKY,1.265816,0.000553,0.027972,-0.261113,0.233085,495
34,B000052YL1,1.296321,0.000396,0.028649,-0.276595,0.252418,725
35,B000052YLX,1.360851,0.000547,0.030073,-0.302914,0.255595,525
36,B000052YM0,1.511363,0.00076,0.033396,-0.345215,0.23184,421
37,B000052YM3,1.315798,0.000163,0.029082,-0.300527,0.200957,534
38,B000052YM4,1.25189,0.00068,0.027662,-0.282587,0.270888,1127
39,B000052YM7,1.237903,9.2e-05,0.027361,-0.252632,0.200165,1279
40,B000052YM8,1.094417,0.000318,0.024187,-0.224041,0.186467,1110
41,B000052YMG,1.266977,0.00032,0.028002,-0.30045,0.233343,432
42,B000052YMQ,1.228347,0.000319,0.027148,-0.260555,0.22745,1118
43,B000052YMR,1.306894,0.000687,0.028877,-0.269473,0.235437,540
44,B000052YMS,1.228354,0.000157,0.027149,-0.264299,0.207887,547
45,B000052YMT,1.26784,0.000531,0.028017,-0.286101,0.22645,525
46,B000052YMV,1.273149,0.000445,0.028136,-0.287381,0.223131,509
47,B000052YMX,1.231894,0.000323,0.027226,-0.256449,0.197938,602
48,B000052YN5,1.378939,0.001012,0.030461,-0.340016,0.239136,450
49,B000052YN7,1.429956,0.00026,0.031605,-0.2942,0.232391,329
50,B000052YOL,1.509808,0.0006,0.033365,-0.266508,0.191657,116
51,B000052YOR,1.430411,0.00029,0.031614,-0.32124,0.244139,338
52,B000052YOX,1.607726,0.000746,0.035527,-0.275259,0.205389,133
53,B000052YP4,1.55909,0.000875,0.034449,-0.276028,0.18685,108
54,B000052YP6,1.500217,0.000676,0.033152,-0.315843,0.286379,334
55,B000052YQ0,1.252274,0.000779,0.027667,-0.235452,0.250072,1132
