item_id,asin,pc1,pc2,salesrank_category,salesrank,item_text_short
0,7806397051,0.20046,-0.28769,Beauty,10486.0,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral P
1,9759091062,-0.07354,0.17971,Beauty,52254.0,Xtreme Brite Brightening Gel 1oz. Xtreme Brite Xtreme Brite  Brightening gel is 
2,9788072216,0.19073,-0.09372,Beauty,78916.0,Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women Prada Prada Candy By P
3,9790790961,0.13528,0.00931,Beauty,764.0,"Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce Versace Versace "
4,9790794231,-0.40133,0.05702,Beauty,142503.0,Stella McCartney Stella STELLA For Women By STELLA MCCARTNEY 1.7 oz EDP Spray Fr
5,B00004TMFE,0.31997,0.07225,Health & Personal Care,5413.0,"Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce Avalon Organics It's in"
6,B00004TUBL,0.29083,-0.21122,Home &amp; Kitchen,46691.0,"Better Living Classic Two Chamber Dispenser, White Classic Qality designed two c"
7,B00004TUBV,0.23171,-0.17345,Home &amp; Kitchen,27372.0,"Better Living The Ulti-Mate Dispenser Better Living The Ulti-Mate Dispenser III,"
8,B00004U9UY,0.21267,0.04396,Beauty,2750.0,"Crabtree &amp; Evelyn 2792 Gardeners Hand Therapy (100ml, 3.4 oz) Crabtree &amp;"
9,B00004U9V2,0.04536,0.21664,Beauty,24399.0,Crabtree &amp; Evelyn - Gardener's Ultra-Moisturising Hand Therapy Pump - 250g/8
10,B000050B6U,0.31919,-0.25955,Beauty,3225.0,"Instant Heat Curling Iron, 1-Inch Conair Welcome to the world of advanced stylin"
11,B000052WY7,-0.21978,-0.09343,Beauty,23677.0,"Maybelline New York Expert Wear Brow &amp; Eyeliner, 151 Velvet Black , .011 oz "
12,B000052WYD,0.11605,0.03261,Beauty,54508.0,"Maybelline New York Cover Stick Concealer, Ivory, Light 2, 0.16 Ounce Maybelline"
13,B000052WYL,-0.17571,0.15183,Beauty,7137.0,"Maybelline New York Expert Eyes Moisturizing Eye Makeup Remover, 2.3 Fl. Oz. May"
14,B000052WYN,-0.10343,-0.06653,Beauty,2226.0,"Maybelline New York Ultra-Liner Liquid Liner, Waterproof, Black 135L-01 , .25 fl"
15,B000052X9G,0.2203,-0.00964,Health & Personal Care,13703.0,"Nullo Internal Deodorant, Coated Caplets, 135 Caplets Monticello Chlorophyllin C"
16,B000052XIA,0.28348,0.19969,Health & Personal Care,21754.0,"Vagisil Anti-Itch Creme, Original Formula - 1 oz Vagisil High Purity Creme with "
