item_id,asin,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29,pc_30,pc_31,pc_32,pc_33,pc_34,pc_35,pc_36,pc_37,pc_38,pc_39,pc_40,pc_41,pc_42,pc_43,pc_44,pc_45,pc_46,pc_47,pc_48,pc_49,pc_50
0,7806397051,0.20046,-0.28769,-0.16559,0.12168,-0.0915,0.16128,0.06027,-0.14228,0.1087,-0.01111,0.02243,-0.2256,-0.1111,0.07977,0.08028,0.02928,0.0717,-0.0169,-0.02425,-0.03641,0.09112,-0.00723,-0.01165,0.01021,0.07823,-0.03612,-0.03681,0.10687,0.00828,-0.08601,-0.12158,-0.06039,-0.04164,0.03014,0.05067,-0.00161,-0.00174,-0.05574,-0.05347,0.06788,-0.06701,0.02295,-0.02144,-0.04983,-0.01197,0.00987,-0.01012,-0.03528,-0.05031,-0.01395
1,9759091062,-0.07354,0.17971,-0.04638,-0.0747,-0.06197,0.07389,0.09687,-0.01701,-0.17514,0.04265,-0.03382,0.06958,-0.05496,0.15697,-0.03754,0.01237,0.00518,-0.01179,-0.04583,-0.04674,0.01713,-0.02824,-0.00506,-0.00388,0.02991,-0.07655,0.01851,0.06513,0.07501,-0.13541,0.00706,0.04536,-0.02765,0.07389,0.07602,-0.02289,-0.04419,0.02176,0.05063,-0.00268,-0.06663,0.01709,-0.00638,-0.04174,0.01532,-0.03341,0.0387,-0.0186,-0.05784,0.01842
2,9788072216,0.19073,-0.09372,-0.01752,0.08245,0.34709,-0.094,-0.00874,-0.0462,-0.18163,-0.1549,-0.05245,0.12768,-0.05038,0.00143,0.1016,0.02408,0.13039,0.05978,0.06135,0.18819,0.02374,0.04297,0.00674,0.08138,0.02731,-0.02376,-0.02297,0.02153,-0.07301,0.0353,-0.04132,0.02311,-0.00707,0.01738,0.01979,-0.065,-0.01488,-0.09222,-0.07639,0.02076,-0.02093,0.01316,-0.04364,0.03311,-0.02132,0.01428,0.05806,-0.03106,-0.04136,-0.00592
3,9790790961,0.13528,0.00931,0.05059,0.18105,0.37195,-0.05533,-0.11526,-0.02413,-0.13079,-0.19515,-0.13184,0.04503,0.06388,-0.03109,0.16822,-0.01287,0.16913,0.06431,0.02157,0.14253,-0.02572,0.09993,0.00939,-0.01315,0.11937,-0.03536,0.01721,0.04857,-0.0366,-0.01718,0.02514,-0.00719,-0.04811,-0.04541,0.02738,0.00886,-0.06794,0.03473,0.01394,-0.02201,0.02085,0.00524,0.01426,0.07665,0.01923,-0.02543,0.02298,-0.04427,-0.03003,0.00525
4,9790794231,-0.40133,0.05702,0.17208,0.28072,0.32867,-0.11003,-0.06833,-0.1442,-0.13515,-0.09415,-0.07208,0.10723,-0.07862,-0.03613,0.06251,0.14172,0.04398,0.15885,0.12834,0.23961,0.0379,0.05849,0.00669,-0.03746,-0.02949,0.06421,-0.01582,0.09005,-0.06668,-0.02501,0.01782,-0.03049,0.07798,-0.0337,-0.14766,0.00552,0.01331,-0.03981,-0.07384,-0.0304,-0.04212,-0.11926,-0.00409,-0.01958,0.08093,-0.03038,0.09293,0.01041,0.03186,-0.05617
5,B00004TMFE,0.31997,0.07225,-0.00042,-0.04947,0.19048,-0.19217,-0.06696,0.14075,0.10964,0.18607,-0.09685,-0.21028,-0.17848,-0.13811,-0.23987,-0.04045,0.00226,-0.06653,0.10549,0.12927,0.03131,0.0167,-0.04382,0.05465,0.11389,0.00902,-0.05748,-0.01661,-0.15747,-0.04951,-0.01446,-0.00051,-0.04211,0.02557,-0.10928,0.06146,0.03185,0.01686,-0.04234,-0.00895,-0.00836,0.08809,-0.09353,-0.00906,-0.04265,0.04003,0.00191,0.03644,-0.03463,0.03479
6,B00004TUBL,0.29083,-0.21122,0.12827,-0.07903,0.02448,-0.10709,0.16071,0.05718,0.18396,-0.04042,0.0341,0.09682,0.07921,0.05581,0.0107,0.06375,0.01338,0.08753,-0.04658,-0.05937,-0.01682,-0.01674,0.05769,0.04883,0.02716,-0.01884,-3e-05,-0.03532,-0.13842,0.0165,-0.00358,0.06702,0.0604,0.08361,-0.00404,0.04092,-0.00262,-0.04756,-0.02735,0.04071,-0.0576,0.00551,-0.02068,0.02766,-0.0352,-0.03405,-0.04375,0.10483,-0.00182,0.03604
7,B00004TUBV,0.23171,-0.17345,0.11629,-0.0573,-0.09851,-0.12212,0.1045,0.06838,0.11084,0.12055,-0.08861,0.15905,0.01588,0.01135,0.03924,0.02422,0.05448,0.08151,-0.06161,-0.04188,-0.05166,0.07786,0.11682,0.07844,0.03458,0.01704,-0.01952,-0.0153,-0.11331,-0.08473,-0.01821,0.07327,0.10378,0.0546,0.04226,0.0108,-0.01113,-0.04022,-0.02917,0.06777,-0.02559,0.02625,-0.02985,0.05271,-0.08241,-0.04206,-0.00828,0.12885,0.01561,0.01354
8,B00004U9UY,0.21267,0.04396,0.15444,0.09498,0.11873,-0.16063,0.13254,0.07877,-0.07032,0.08214,-0.09658,0.03368,-0.08309,0.00108,-0.04971,-0.13381,0.1003,-0.08176,-0.00683,0.05898,-0.04506,0.01158,0.03189,0.11214,-0.02981,0.03324,0.03046,0.02071,-0.13844,-0.00631,-0.00426,-0.05211,-0.04135,0.04897,-0.00932,-0.05898,-0.02097,-0.02853,0.00761,-0.04496,-0.01037,-0.04783,-0.05703,0.07632,0.07742,0.04655,0.01581,0.00303,-0.00032,-0.00901
9,B00004U9V2,0.04536,0.21664,0.01769,-0.11235,0.13798,0.07755,0.1607,0.04813,-0.08331,-0.02633,-0.04926,0.11465,0.06382,0.00728,-0.06906,-0.10653,0.04463,-0.06955,0.00581,-0.02887,-0.06171,0.0051,0.00481,0.04298,-0.09894,0.01431,0.01104,0.06789,-0.05304,0.01371,0.00232,-0.04113,-0.02539,-0.02531,0.02727,-0.03601,-0.04267,-0.03077,0.03582,0.01189,-0.02924,-0.0063,-0.01307,0.02177,0.09532,0.02951,0.01405,0.00761,0.02209,-0.04178
