item_id,asin,item_text,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
0,7806397051,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette COKA An extensive range of 15 mul,0.003134,0.016355,-0.008002,0.058656,-0.035385,-0.017552,0.021168,0.008062,-0.090337,-0.01223,-0.000571,-0.005013,-0.026761,0.027023,-0.007918,-0.030537
1,9759091062,Xtreme Brite Brightening Gel 1oz. Xtreme Brite Xtreme Brite  Brightening gel is a highly concentrated gel that helps to ,0.032302,0.034728,0.022376,0.037713,-0.044175,0.001623,-0.001963,0.011638,-0.050954,-0.007004,0.020593,0.008657,0.007312,0.006709,0.010936,-0.02371
2,9788072216,Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women Prada Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Wome,0.040107,0.043176,0.00359,0.030613,-0.039277,0.036371,0.004495,-0.004765,-0.020019,-0.012764,-0.002624,0.002199,0.008091,0.006226,-0.000611,-0.028874
3,9790790961,"Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce Versace Versace Bright Crystal Perfume for Women 3 oz Ea",0.021769,0.028718,0.025978,0.040264,-0.039089,0.018549,-0.00684,-0.000958,-0.014997,-0.009429,-0.016097,0.00013,0.003286,0.012683,-0.007869,-0.028932
4,9790794231,Stella McCartney Stella STELLA For Women By STELLA MCCARTNEY 1.7 oz EDP Spray Fragrance Women's Beauty Eau de Parfum,0.033541,0.029443,0.017999,0.057074,-0.006791,0.025023,0.006725,0.012672,-0.020046,0.003479,-0.013406,-0.013822,0.021786,0.028405,-0.006554,-0.042814
5,B00004TMFE,"Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce Avalon Organics It's in our name: Avalon Organics. Our commitme",0.040524,0.021976,-0.015882,0.025445,-0.038175,-0.017462,-0.000273,0.002121,-0.024827,-0.016199,-0.006101,-0.010342,-0.002838,-0.047434,0.029884,-0.004057
6,B00004TUBL,"Better Living Classic Two Chamber Dispenser, White Classic Qality designed two chamber that utilizes a 'patented pump te",0.071532,0.010194,0.009326,0.012606,-0.032284,0.005547,0.006887,-0.006877,-0.049332,-0.03518,0.018922,-0.011468,-0.000941,-0.012738,0.011782,-0.010566
7,B00004TUBV,"Better Living The Ulti-Mate Dispenser Better Living The Ulti-Mate Dispenser III, provides a perfect solution to eliminat",0.052236,0.018745,0.004325,0.005691,-0.036921,0.013388,-0.00275,-0.006414,-0.028248,-0.020974,-0.004565,-0.021522,0.015742,0.014509,0.003278,-0.010747
8,B00004U9UY,"Crabtree &amp; Evelyn 2792 Gardeners Hand Therapy (100ml, 3.4 oz) Crabtree &amp; Evelyn You've watched your favorite gar",0.028081,0.011725,0.012311,0.025499,-0.030367,0.006096,0.013498,-0.005719,-0.04929,0.0112,-0.0043,0.006468,0.003494,0.000909,-0.012886,-0.022546
9,B00004U9V2,Crabtree &amp; Evelyn - Gardener's Ultra-Moisturising Hand Therapy Pump - 250g/8.8 OZ After a long day of handling thorn,0.040167,0.019629,0.010349,0.03262,-0.024267,-0.007974,0.005044,0.001801,-0.038824,-0.005025,0.026323,-0.005431,0.001366,0.007342,-0.001247,-0.028993
10,B000050B6U,"Instant Heat Curling Iron, 1-Inch Conair Welcome to the world of advanced styling, where curling irons heat up in less t",0.042201,0.019044,0.014123,0.023916,-0.029922,0.001958,-0.019484,0.008993,-0.024679,-1e-05,-0.006237,0.00271,-0.012023,-0.01218,0.01759,-0.033999
11,B000052WY7,"Maybelline New York Expert Wear Brow &amp; Eyeliner, 151 Velvet Black , .011 oz (310 mg) Maybelline Defining brow filler",0.036544,0.012465,0.024023,0.039214,-0.015073,-0.000379,0.002171,0.036404,-0.053109,0.042895,-0.000923,-0.011508,-0.010392,0.025198,0.00585,-0.057011
12,B000052WYD,"Maybelline New York Cover Stick Concealer, Ivory, Light 2, 0.16 Ounce Maybelline Completely conceals blemishes, dark cir",0.017575,0.018864,0.008551,0.041112,-0.022477,-0.007881,0.008159,0.022135,-0.063164,-0.013359,-0.01835,9.1e-05,-0.008464,0.023365,0.00229,-0.048112
13,B000052WYL,"Maybelline New York Expert Eyes Moisturizing Eye Makeup Remover, 2.3 Fl. Oz. Maybelline Gently removes waterproof mascar",0.040164,0.022703,0.016692,0.052425,-0.006544,-0.034032,0.019637,0.008657,-0.055762,-0.005721,0.006674,-0.013782,-0.013231,0.028414,-0.016752,-0.038009
14,B000052WYN,"Maybelline New York Ultra-Liner Liquid Liner, Waterproof, Black 135L-01 , .25 fl oz (7.3 ml) Maybelline Waterproof liqui",0.042755,0.024299,0.008822,0.037069,-0.014682,-0.010525,0.005637,0.023501,-0.048242,0.019095,-0.005036,-0.006281,0.006916,0.00278,0.002547,-0.0619
15,B000052X9G,"Nullo Internal Deodorant, Coated Caplets, 135 Caplets Monticello Chlorophyllin Copper Complex 100g Dietary Supplement. N",0.004945,0.029366,0.006085,0.055457,-0.021258,0.005637,0.000141,-0.000338,-0.059355,-0.024998,0.003439,-0.018473,-0.03204,0.005916,0.003757,-0.013952
16,B000052XIA,"Vagisil Anti-Itch Creme, Original Formula - 1 oz Vagisil High Purity Creme with Vitamins E, A &amp; D Plus Aloe brings c",0.008293,0.039241,0.026206,0.033968,-0.012749,0.002372,-0.023499,-0.003482,-0.040692,-0.044081,0.011075,-0.023469,0.013978,0.006001,-0.002834,-0.013976
17,B000052XW5,"Pretty Feet &amp; Hands Rough Skin Remover-Exfoliant, 3-Ounce Bottles (Pack of 3) Pretty Feet &amp; Hands Soft, sensuous",0.016179,0.024492,0.032779,0.017127,-0.015458,-0.017587,0.023202,0.01373,-0.053827,-0.017737,0.007394,0.007241,-0.003121,-0.004296,-0.019468,-0.022634
