item_id,item_text,rank,neighbor_item_id,cosine_similarity,neighbor_text
0,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette COKA An exten,1,10002,0.95594,Professional 15 Concealer Camouflage Makeup Palette BuyinCoins Kingmys An extensive range of 15 mult
0,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette COKA An exten,2,11369,0.91565,Frola Cosmetics Professional 6 Colors Contour Face Power Foundation Makeup Palette #01 Frola Cosmeti
0,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette COKA An exten,3,8815,0.9087,Professional 15 Color Concealer Camouflage Makeup Palette Crazy Cart <Introductions:A good eyeshadow
0,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette COKA An exten,4,10017,0.85961,Bare Minerals Bisque Face Color SPF 20 0.08 oz Bare Escentuals A mineral-based powder miracle concea
0,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette COKA An exten,5,4395,0.85885,bareMinerals Multi-Tasking Honey Bisque .08 oz Bare Escentuals Our multi-tasking bareMinerals work o
1,Xtreme Brite Brightening Gel 1oz. Xtreme Brite Xtreme Brite  Brightening gel is a highly concentrate,1,7999,0.93231,Xtreme Brite Brightening Gel 1oz Xtreme Brite Xtreme Brite Brightening Gel is highly concentrated ge
1,Xtreme Brite Brightening Gel 1oz. Xtreme Brite Xtreme Brite  Brightening gel is a highly concentrate,2,9143,0.90027,Xtreme Brite Brightening Gel 1oz x 3pcs Xtreme Brite Brightening Gel is highly concentrated gel help
1,Xtreme Brite Brightening Gel 1oz. Xtreme Brite Xtreme Brite  Brightening gel is a highly concentrate,3,4975,0.89049,N.4 High Performance Hair Care - Lumiere d'hiver (Clarifying Shampoo) 8.5oz Number 4 A deep cleansin
1,Xtreme Brite Brightening Gel 1oz. Xtreme Brite Xtreme Brite  Brightening gel is a highly concentrate,4,8722,0.88657,"Organic Root Stimulator Hairepair Anti-Breakage Strength Creme, 5 Ounce Organic Root Stimulator Cont"
1,Xtreme Brite Brightening Gel 1oz. Xtreme Brite Xtreme Brite  Brightening gel is a highly concentrate,5,1995,0.88432,"Curly Sexy Hair Curling Creme Unisex by Sexy Hair, 5.1 Ounce Sexy Hair Sexy Hair curling cream is a "
2,Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women Prada Prada Candy By Prada Eau De Parfum S,1,3114,0.88725,Dolce &amp; Gabbana The One for Men 1.7 oz Eau de Toilette Spray Dolce &amp; Gabbana The One by Dolc
2,Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women Prada Prada Candy By Prada Eau De Parfum S,2,11404,0.87044,"Katy Perry Killer Queen Eau de Parfum Spray for Women, 1.7 Ounce Katy Perry Killer Queen by Katy Per"
2,Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women Prada Prada Candy By Prada Eau De Parfum S,3,2843,0.8695,L'homme Yves Saint Laurent By Yves Saint Laurent For Men. Eau De Toilette Spray 3.3-Ounces Yves Sain
2,Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women Prada Prada Candy By Prada Eau De Parfum S,4,6443,0.86631,"Paris Hilton Tease Eau De Parfum Spray by Paris Hilton, 1.7 Ounce Paris Hilton Introduced in the yea"
2,Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women Prada Prada Candy By Prada Eau De Parfum S,5,2834,0.86423,"Daisy By Marc Jacobs for Women Eau De Toilette Spray, 1.7 -Ounce MARC JACOBS Enter the world of Dais"
3,"Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce Versace Versace Bright Crystal Perfu",1,9374,0.90954,"Bvlgari Omnia Coral Eau De Toilette Spray for Women, 2.2 Ounce Bvlgari Inspired by the shimmering hu"
3,"Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce Versace Versace Bright Crystal Perfu",2,2545,0.90108,Bright Crystal By Gianni Versace For Women. Miniature Eau De Toilette 5 Ml. Versace 100% Authentic V
3,"Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce Versace Versace Bright Crystal Perfu",3,5757,0.89481,"Pure Dkny Eau De Parfum Spray by Donna Karan, 3.4 Ounce Donna Karan Introduced by the design house o"
3,"Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce Versace Versace Bright Crystal Perfu",4,8055,0.89479,"Yves Saint Laurent L'Homme Libre Eau De Toilette Spray for Men, 3.3 Ounce YVES SAINT LAURENT Break f"
3,"Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce Versace Versace Bright Crystal Perfu",5,2496,0.89366,"Giorgio Armani Emporio Armani Diamonds Eau de Parfum Spray for Women, 3.4 Fluid Ounce Emporio Armani"
4,Stella McCartney Stella STELLA For Women By STELLA MCCARTNEY 1.7 oz EDP Spray Fragrance Women's Beau,1,1673,0.87954,"Sarah Jessica Parker Lovely Eau de Parfum Spray for Women, 3.4 Ounce Sarah Jessica Parker Sarah Jess"
4,Stella McCartney Stella STELLA For Women By STELLA MCCARTNEY 1.7 oz EDP Spray Fragrance Women's Beau,2,8603,0.87761,"Bcbg Max Azria Eau De Parfum Spray for Women, 3.4 Ounce BCBGMAXAZRIA Buy BCBG Women's Perfumes - BCB"
4,Stella McCartney Stella STELLA For Women By STELLA MCCARTNEY 1.7 oz EDP Spray Fragrance Women's Beau,3,8513,0.87698,"GUERLAIN SHALIMAR Initial Women Eau De Parfum Spray, 3.4 Ounce Guerlain Buy Guerlain Women's Perfume"
4,Stella McCartney Stella STELLA For Women By STELLA MCCARTNEY 1.7 oz EDP Spray Fragrance Women's Beau,4,7241,0.87202,"Elizabeth Arden Pretty Hot Eau De Parfum Spray, 1.7 Ounce Elizabeth Arden Buy Elizabeth Arden Women'"
4,Stella McCartney Stella STELLA For Women By STELLA MCCARTNEY 1.7 oz EDP Spray Fragrance Women's Beau,5,6687,0.86943,"Man by Bvlgari for Men, Eau de Toilette Spray, 3.4 Ounce Bvlgari BVLGARI MAN by Bvlgari EDT Spray 3."
5,"Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce Avalon Organics It's in our name: Avalon Or",1,4392,0.97718,"Avalon Organics CoQ10 Ultimate Firming Body Lotion, 8-Ounce Bottle Avalon Organics It's in our name:"
