component,explained_variance_ratio,cumulative
pc_1,0.117128,0.117128
pc_2,0.080995,0.198123
pc_3,0.053997,0.25212
pc_4,0.042112,0.294232
pc_5,0.0323,0.326532
pc_6,0.027753,0.354284
pc_7,0.022129,0.376413
pc_8,0.021479,0.397892
pc_9,0.018051,0.415943
pc_10,0.016216,0.432159
pc_11,0.015348,0.447507
pc_12,0.013861,0.461368
pc_13,0.013602,0.474971
pc_14,0.012139,0.487109
pc_15,0.011838,0.498948
pc_16,0.010488,0.509435
pc_17,0.009951,0.519386
pc_18,0.009028,0.528414
pc_19,0.008841,0.537255
pc_20,0.008063,0.545318
pc_21,0.007757,0.553075
pc_22,0.006956,0.560031
pc_23,0.006715,0.566746
pc_24,0.006434,0.57318
pc_25,0.006242,0.579422
pc_26,0.005858,0.58528
pc_27,0.005585,0.590865
pc_28,0.005433,0.596298
pc_29,0.005362,0.60166
pc_30,0.004837,0.606497
pc_31,0.004569,0.611066
pc_32,0.004409,0.615474
pc_33,0.004269,0.619743
pc_34,0.003829,0.623572
pc_35,0.003816,0.627388
pc_36,0.003719,0.631108
pc_37,0.003708,0.634816
pc_38,0.003475,0.638291
pc_39,0.003378,0.641668
pc_40,0.003201,0.644869
pc_41,0.003152,0.648021
pc_42,0.003021,0.651042
pc_43,0.003006,0.654048
pc_44,0.002898,0.656946
pc_45,0.002717,0.659663
pc_46,0.002619,0.662282
pc_47,0.00252,0.664803
pc_48,0.002406,0.667208
pc_49,0.002331,0.66954
pc_50,0.002211,0.671751
