sid_prefix,collision_group_size,dedup_last,item_id,asin,item_text
113-24-172-253,25,0,6459,B003VMEUJ6,"Harmony Gelish UV Soak Off Gel Polish Ivory Coast Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,1,6463,B003VMJ01Y,"Harmony Gelish UV Soak Off Gel Polish Rendezvous Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,2,6466,B003VMOGSQ,"Harmony Gelish UV Soak Off Gel Polish Samuri Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,3,6469,B003VMSDY4,"Harmony Gelish UV Soak Off Gel Polish Reserve Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,4,6475,B003VMVDM8,"Harmony Gelish UV Soak Off Gel Polish Forever Beauty Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,5,6477,B003VMXH1S,"Harmony Gelish UV Soak Off Gel Polish Exhale Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,6,6478,B003VMXNCG,"Harmony Gelish UV Soak Off Gel Polish High Bridge Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,7,6479,B003VMXOXO,"Harmony Gelish UV Soak Off Gel Polish Tiger Blossom Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,8,6480,B003VMXSIK,"Harmony Gelish UV Soak Off Gel Polish Elegant Wish Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,9,6483,B003VMZHKM,"Harmony Gelish UV Soak Off Gel Polish Passion Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,10,6484,B003VMZRYI,"Harmony Gelish UV Soak Off Gel Polish Sweet Chocolate Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,11,6487,B003VN00YY,"Harmony Gelish UV Soak Off Gel Polish Silver Sand Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,12,6488,B003VN1ING,"Harmony Gelish UV Soak Off Gel Polish June Brid Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,13,6613,B003ZUOCN8,"Harmony Gelish UV Soak Off Gel Polish Caution Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,14,6615,B003ZUZCDC,"Harmony Gelish UV Soak Off Gel Polish Rose Garden Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,15,6616,B003ZUZDD6,"Harmony Gelish UV Soak Off Gel Polish Sea Foam Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,16,7477,B004NMTMUK,"Harmony Gelish UV Soak Off Gel Polish High Voltage Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,17,7478,B004NMVP82,"Harmony Gelish UV Soak Off Gel Polish Grand Jewels Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,18,7481,B004NMYM96,"Harmony Gelish UV Soak Off Gel Polish Glamour Queen Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,19,7483,B004NN0FIW,"Harmony Gelish UV Soak Off Gel Polish Champagne Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,20,7613,B004SSIW5K,"Harmony Gelish UV Soak Off Gel Polish Up In The Blue Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,21,7614,B004SSM396,"Harmony Gelish UV Soak Off Gel Polish Plum and Done Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
113-24-172-253,25,22,7616,B004SSTOCK,"Harmony Gelish UV Soak Off Gel Polish Snow Bunny Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
