sid_prefix,collision_group_size,dedup_last,item_id,asin,item_text
78-179-168-230,21,0,5126,B002ON11RW,"Coastal Scents 88 Color Palette, Warm Coastal Scents The warm palette is a beautiful palette filled with matte, shimmer, smokey, and neutral shadows. Colors contained are in silver blues, camo greens, earthy peach & stone, rich plums, and many different shades of brown. Beauty Makeup Makeup Palettes"
78-179-168-230,21,1,5174,B002QANC2A,Coastal Scents 88 Original Palette Coastal Scents Beauty Eye Shadow Eyes Makeup
78-179-168-230,21,2,5175,B002QASVFS,"Coastal Scents 88  Palette, Ultra Shimmer Coastal Scents Add a little sparkle to your eyes with our Ultra Shimmer Palette. This gorgeous palette contains 88 different fully shimmer shadows that are highly pigmented. With the wide range of shades from neutrals to brights you can create endless looks with ease. The shadows can be applied dry or wet with the dual end foam tip applicators included or any eye shadow brush from your collection. The matte black case contains the Coastal Scents logo as well as the name of the palette for convenience. Beauty Makeup Makeup Sets"
78-179-168-230,21,3,5176,B002QAV560,"Coastal Scents 78 Piece Makeup Palette Coastal Scents This palette comes with 60 shadows, 12 highlight and liner shades, and 6 blushes. The shades are highly pigmented. All of the shadows can also be applied wet for a deeper, longer lasting effect. Beauty Makeup Makeup Palettes"
78-179-168-230,21,4,5177,B002QB52W2,"Coastal Scents 26 Shadow Blush Combo Palette Coastal Scents The 26 shadow blush palette comes in nearly nude, browns, taupes, peaches, pinks, rose, and rich plums. There are 21 shadows and 5 blushes in shimmer, pearl, and matte shades. Some of the shadows can be used as blushes with great results. Beauty Blush Face Makeup"
78-179-168-230,21,5,5184,B002QFQVC8,"Coastal Scents 56 Piece Blush &amp; Eye Shadow Palette Coastal Scents This palette comes with 50 earthy shadows in shimmer and matte and 6 deeply pigmented warm tone, matte blush shades. A beautiful palette for those who love blushes and shadows. Beauty Makeup Makeup Palettes"
78-179-168-230,21,6,5185,B002QFRFB4,Coastal Scents 66 Color Lip Palette Coastal Scents This lip palette comes with 66 colors in shimmer and matte. Each color is a little bit smaller than a dime. Beauty Makeup Makeup Sets
78-179-168-230,21,7,5186,B002QFSIW4,Coastal Scents 32 Lip Color Palette Coastal Scents This lip palette comes with 32 colors in matte and shimmer. A beautiful palette for those who love to go au nautral to luscious lips. Beauty Lips Lipstick Makeup
78-179-168-230,21,8,5397,B002WCT9TC,"Coastal Scents Creative Me #1 Makeup Palette Coastal Scents This palette consists of 12 vibrant basic shades in matte. A great palette for the makeup artist creating looks for stage, film, and photography which go beyond the normal everyday look. Beauty Makeup Makeup Sets"
78-179-168-230,21,9,5950,B003DVNKU0,"Coastal Scents 28 Color Eyeshadow Palette, Neutral Coastal Scents This palette comes in an assortment of 28 neutral tones in shimmer and matte shades, many of the shadows can also double as a blush. Beauty Makeup Makeup Sets"
78-179-168-230,21,10,6023,B003GCWJFS,"Coastal Scents 88 Color Palette, Metal Mania Coastal Scents The metal mania palette comes with 88 vibrant satin colors. An amazing palette that is great for day and night use. Beauty Makeup Makeup Sets"
78-179-168-230,21,11,6659,B0041KLRYS,"Coastal Scents Winterberry Palette, 8.5-Ounce Coastal Scents 12 Berry inspired metallic shades Beauty Makeup Makeup Palettes"
78-179-168-230,21,12,6935,B004A8DJS8,"Coastal Scents Think Pink Palette, 8.5-Ounce Coastal Scents 12 Rose Petal inspired shades Beauty Makeup Makeup Palettes"
78-179-168-230,21,13,6936,B004A8LFJI,"Coastal Scents Fall Festival Palette, 8.5-Ounce Coastal Scents 12 Inspired fall shades. Beauty Eye Shadow Eyes Makeup"
78-179-168-230,21,14,7420,B004LWAJB8,"Coastal Scents Smoky Palette, 1.26 Ounce Coastal Scents Beauty Makeup Makeup Palettes"
78-179-168-230,21,15,8583,B005UBN3GW,"Coastal Scents Go Makeup Palette, Paris, 0.28 Oz Coastal Scents Evoke the essence of love with our Paris Go Palette. Inspired by the romantic French city this palette is ideal for sculpting a variety of tantalizing looks. All of the eye shadows are contained in our matte black Coastal Scents imprinted palette and equipped with a mirror for convenience. Beauty Makeup Makeup Palettes"
78-179-168-230,21,16,8584,B005UBN3L2,"Coastal Scents Go Makeup Palette, Cairo, 0.28 Ounce Coastal Scents Discover exotic beauty with our Cairo Go Palette. Containing twelve highly pigmented Egyptian themed jewel tone shadows to create an endless array of looks. All twelve shadows are included in our matte black Coastal Scents logo imprinted palette and equipped with a mirror for convenience. Beauty Makeup Makeup Palettes"
78-179-168-230,21,17,8585,B005UBN3MG,"Coastal Scents Go Makeup Palette, Sydney, 0.28 Ounce Coastal Scents Escape down under with our Sydney Go Palette. Inspired by the neon lights of this popular Australian city, this palette has a surprising range of vibrant, shimmery eye shadows. All twelve shadows are stored in a matte black Coastal Scents imprinted palette and equipped with a mirror for convenience. Beauty Makeup Makeup Palettes"
78-179-168-230,21,18,8586,B005UBN3NU,"Coastal Scents Go Makeup Palette, Beijing, 0.28 Oz Coastal Scents Reveal exquisite beauty with our Beijing Go Palette. Inspired by the Peking Opera in China&#x2019;s cultural epicenter this palette contains twelve highly pigmented shimmery shadows to create a variety of looks. All twelve shadows are housed in our matte black, Coastal Scents logo imprinted palette and equipped with a mirror for convenience. Beauty Makeup Makeup Palettes"
78-179-168-230,21,19,8587,B005UBN3O4,"Coastal Scents Go Makeup Palette, Moscow, 0.28 Oz Coastal Scents Journey to the heart of a bustling metropolis with our Moscow Go Palette. Inspired by Russia&#x2019;s vastly populated capital city this palette contains twelve highly pigmented shimmery eye shadows for an vibrant array of looks. All twelve shadows are contained in our matte black Coastal Scents logo imprinted palette and equipped with a mirror for convenience. Beauty Makeup Makeup Palettes"
78-179-168-230,21,20,8588,B005UBN57O,"Coastal Scents Go Makeup Palette, London, 0.28 Oz Coastal Scents Unleash your royal beauty with our London Go Palette. Inspired by England&#x2019;s capital city this palette is an assortment of twelve highly pigmented matte and shimmer shadows. The shadows are contained in our matte black, Coastal Scents logo imprinted palette and equipped with a mirror for convenience. Beauty Makeup Makeup Palettes"
18-145-187-83,16,0,839,B0009RFB76,"RoC Retinol Correxion Eye Cream, 0.5 Ounce RoC &nbsp;&nbsp;&nbsp;Fight the look of deep wrinkles with RoC RETINOL CORREXION Eye Cream. Specially formulated for the delicate eye area, Retinol CORREXION Eye Cream visibly reduces wrinkles around the eyes and crow's feet in 12 weeks. In addition, it evens out the appearance of dark circles and reduces the appearance of puffiness in four weeks.Usage TipsApply the formula in small dots around the eye area and gently smooth until thoroughly absorbed. Use alone or under makeup in the morning and/or evening.How Can RoC RETINOL Improve My Skin?Retinol is one of the most effective ingredients for reducing the appearance of lines and wrinkles.When you are young, your skin cells continuously renew themselves, which keeps your skin looking smooth. As time passes, however, your skin's ability to renew itself gradually slows down. Skin loses its elasticity and wrinkles become more evident. What you need is something to help keep it looking younger and healthier.This is the benefit of Retinol. Retinol is a pure form of Vitamin A that works to reduce the appearance of wrinkles.Advice for Getting the Most Out of Retinol ProductsStart Early:It is often recommended to begin using a Retinol product in your late twenties to early thirties. Early use of Retinol products can actually help to combat fine lines and wrinkles before they become apparent, so your skin stays looking younger and healthier.Start Slowly:Using Retinol is like exercising. You don't start out running a marathon. Begin by applying a small amount (a little goes a long way) every other day for about two weeks. After two weeks, you may begin applying more frequently until find the best routine for your skin.RoC RETINOL CORREXIONEye CreamAt a Glance:Hypoallergenic2006 CEW Beauty Awards WinnerStick with It:It is important to be consistent, as the benefits of Retinol are seen over time. If you happen to experience minor skin irritation, this may be temporary while your skin adjusts to the products. Just decrease usage for a few days and work your way back up after that.Protect your skin:Whether you use a Retinol product during the night or day, always remember to wear a sunscreen of SPF 15 or higher during the day.RoC: A History of Skincare ExpertiseRoC brand was founded in France in 1957 by pharmacist Jean-Charles Lissarrague and a collaboration of dermatologists. From the beginning, RoC developed strong partnerships with dermatologists, helping it become the skincare leader in France. In 1999, the makers of RoC brought its anti-aging expertise to the U.S.Since then, RoC has continued to build on its unique understanding of the skin aging process to develop the best and most effective skincare solutions for women in the U.S. RoC products in the U.S. are not only derived from extensive research and thorough clinical studies, but also from a proven track record of success with European women.What's in the BoxRoC RETINOL CORREXION Eye Cream (0.5 Fluid Ounces).Deep Wrinkle FillerDeep Wrinkle SerumDeep Wrinkle DailyMoisturizer SPF 30Eye CreamDeep Wrinkle Night CreamSENSITIVE Eye CreamSENSITIVE Night CreamTrademark Information:RoC&reg; RETINOL CORREXION&reg; Deep Wrinkle Eye Cream Beauty Body Moisturizers Oils Skin Care"
18-145-187-83,16,1,3247,B0018S6MO6,"RoC CompleteLift Serum, 1.3-Ounce Bottle This smooth, silky fluid glides on easily and absorbs quickly leaving your skin feeling velvety smooth. Patent-pending Protient lifting & firming technology &#x2013; a high-performance tightening agent &#x2013; works to help firm and tone skin for a visibly lifted and more defined look. Beauty Face Oils & Serums Skin Care"
