item_id,asin,code_1,code_2,code_3,code_4,dedup_last,sid,sid_prefix,collision_group_size,is_collided,item_text
0,7806397051,78,232,34,115,0,78-232-34-115-0,78-232-34-115,1,False,"WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette COKA An extensive range of 15 multiple vibrant long wear concealer colour with different skin tones to create more than 10,000 amazing looks. Using the most commonly applied shades, ensures the best skin colour match and guarantees a traceless and natural finish. Enabling layering and mixing, provides total camouflage for almost any skin problem including blemishes, scars, birthmarks and black circles. It is also suitable to use as bronzer. The light colour is suitable for redness, acne and so on. The medium colour is perfect for dark shadows in the under-eye area. The dark colour provides exceptional camouflage and adheres well to the skin. Silky glossy colour and high quality ingredients together to care skin around and can last for all day long. It is perfect for Professional Salon, Wedding, Party and Home use. Size: 15.4 x 10.2 x 1.3cm. Each Diameter: 2.6cm. Concealer: 15 Color Concealer. Beauty Concealers & Neutralizers Face Makeup"
1,9759091062,225,33,106,255,0,225-33-106-255-0,225-33-106-255,1,False,"Xtreme Brite Brightening Gel 1oz. Xtreme Brite Xtreme Brite  Brightening gel is a highly concentrated gel that helps to obtain a clearer and brighter complexion. It helps remove blackheads and cosmetic acne. Beauty Creams, Gels & Lotions Hair Care Styling Products"
2,9788072216,198,118,161,189,0,198-118-161-189-0,198-118-161-189,1,False,"Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women Prada Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women : Prada Candy launched in 2011 has taken all vivacious young feminine hearts in its grasp. The caramela, musky, and balmy accords are irresistible for the graceful or the vivacious. A creation by the perfumer Daniela Andrier, it enlivens the young heart of the applicant and tantalizes the smeller. It is a companion of the flirtatious and the sensuous. The musky notes dominate over the top followed by the chypre benzoin. The gourmand caramel is a surprise at the base when you start feeling that you know the Prada trick. The exquisite flacon with embossed brand name and attractive stopper gives a start to the temptation. Beauty Eau de Parfum Fragrance Women's"
3,9790790961,198,185,122,82,0,198-185-122-82-0,198-185-122-82,1,False,"Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce Versace Versace Bright Crystal Perfume for Women 3 oz Eau De Toilette Spray Inspired by a mixture of Donatella Versace's favorite floral fragrances, Bright Crystal is a fresh, sensual blend of refreshing chilled yuzu and pomegranate mingled with soothing blossoms of peony, magnolia, and lotus flower, warmed with notes of musk and amber. Notes: Iced Accord, Yuzu, Pomegranate, Peony, Magnolia, Lotus Flower, Acajou, Vegetal Amber, Musk. Style: Sheer. Sensual. Luminous. Recommend Use: Day, Evening, Night Beauty Eau de Toilette Fragrance Women's"
4,9790794231,245,123,50,169,0,245-123-50-169-0,245-123-50-169,1,False,Stella McCartney Stella STELLA For Women By STELLA MCCARTNEY 1.7 oz EDP Spray Beauty Eau de Parfum Fragrance Women's
5,B00004TMFE,66,24,56,197,0,66-24-56-197-0,66-24-56-197,1,False,"Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce Avalon Organics It's in our name: Avalon Organics. Our commitment to organic agriculture extends beyond personal care formulation to a passion for home-grown sustainability, a cleaner global environment and, of course, personal health. Our dedication to these ideals is summarized in our pledge, Consciousness in Cosmetics: To honor our bodies and the world we live in by creating an extraordinary range of truly effective personal care products that are inherently pure, safe and certified to the NSF/ANSI 305 Standard for Personal Care Products Containing Organic Ingredients. Each of our products is made with organic ingredients, including botanicals, extracts and essential oils. We honor ourselves, our planet and our users with the Consciousness in Cosmetics promise. We urge you to take time to honor yourself everyday. Beauty Conditioners Hair Care"
6,B00004TUBL,117,251,43,116,0,117-251-43-116-0,117-251-43-116,1,False,"Better Living Classic Two Chamber Dispenser, White Classic Qality designed two chamber that utilizes a 'patented pump technology' and comes with a lifetime warranty. Perfect for the kitchen, vanity, shower, laundry, garage, pool, office, restaurant, etc.  The liquid is stored in a two 14 oz. refillable chambers.  With one or two strokes of the pump, just the right amount of shampoo, conditioner or liquid soap is dispensed. Classic Dispenser allows you to buy your favorite liquids in bulk to save money and reduce plastic consumption, which in turn will reduce the impact of all those empty plastic bottles in our landfill sites.  Installs in minutes without tools using silicone and two way tape (included). Bath & Body Bath Trays Bathing Accessories Beauty"
7,B00004TUBV,117,141,41,248,0,117-141-41-248-0,117-141-41-248,1,False,"Better Living The Ulti-Mate Dispenser Better Living The Ulti-Mate Dispenser III, provides a perfect solution to eliminate bathtub bottle clutter and costly spills. Originally designed as a multi-shampoo organizer designed to eliminate bathtub mess. The Ulti-Mate Dispenser III allows you to organize a variety of shower liquids used in the household. Liquids are stored in 15 oz. refillable chambers hidden behind an attractive shell that easily attaches to the shower wall with silicone glue and two-way tape (included). With a fog-resistant mirror perfect for shaving in the shower and a soap dish plus hooks to neatly hang razors The unique top shelf holds extra bottles and shower items. With one or two strokes of the pump, just the right amount of shampoo, conditioner, lotion, liquid soap or shower gel is dispensed ensuring there is no excess which would otherwise go down the drain. The Ulti-Mate Dispenser III allows you to buy your favorite liquids in bulk to save money and reduce plastic consumption, which in turn will reduce the impact of all those empty plastic bottles in our landfill sites. Installs in minutes without tools using silicone and two way tape (included). Bath & Body Bath Trays Bathing Accessories Beauty"
8,B00004U9UY,84,101,126,154,0,84-101-126-154-0,84-101-126-154,1,False,"Crabtree &amp; Evelyn 2792 Gardeners Hand Therapy (100ml, 3.4 oz) Crabtree &amp; Evelyn You've watched your favorite gardeners spend hours lovingly pampering their plants, doting all weekend over tulips or carrots or tomatoes, but when was the last time they doted on themselves? Crabtree & Evelyn has come to the rescue of gardeners' hands everywhere with their full line of lavish skin care products. This luxuriant Gardeners Hand Therapy has a base of shea butter, famous for its moisturizing qualities. The cream has a great musky scent and makes for great pampering after a long day in the dirt, soothing and protecting a gardener's work-roughened hands. Combine this with other Crabtree & Evelyn accessories like their Gardeners Vegetable Soap or Hand Scrub for a fantastic gift set. Indulge your favorite gardeners (or yourself) with this well-deserved treat.--Ariel Meadow Stallings Beauty Hand Creams & Lotions Hands & Nails Skin Care"
9,B00004U9V2,84,101,126,129,0,84-101-126-129-0,84-101-126-129,1,False,"Crabtree &amp; Evelyn - Gardener's Ultra-Moisturising Hand Therapy Pump - 250g/8.8 OZ After a long day of handling thorny situations, our new hand therapy pump is just the help you need. It contains shea butter as well as extracts of yarrow, clover and calendula to help soothe and condition work-roughened hands. Beauty Hand Creams & Lotions Hands & Nails Skin Care"
