K000000971	Furniture Assembler
K000000996	Furniture Maker and Repairer
K000000999	Laundry and Pressing Worker
K000007566	Household Manager
K000007494	Registered Nurse
K000000868	Construction and Mining Equipment Operator
K000001096	Construction and Mining Labourer
K000000895	Construction and Mining Operations Manager
K000001018	Utilities Operations Manager
K000001173	Production Manager
K000000897	Structural Steel Erector
K000001117	Architectural Carpenter
K000001208	Bricklayer and Stone Setter
K000007467	Concrete Worker
K000007475	Architectural Stonemason
K000007533	Steel Reinforcement Worker
K000008485	Light Steel Frame Installer
K000000829	Civil Safety and Environmental Engineer
K000000878	Urban Planner
K000000888	Cadastral and Survey Engineer
K000000891	Transport Planner
K000000915	Construction Supervision Engineer
K000000922	Building Services Engineer
K000000940	Building Construction Engineer and Estimator
K000000956	Structural Engineer
K000000985	Landscape Engineer
K000000992	Civil Structural Design Engineer
K000001014	Architect
K000001021	Geospatial Information Systems Specialist
K000001067	Civil Works Supervision Engineer
K000001073	Civil Construction Engineer and Estimator
K000001120	Traffic Impact Assessor
K000001142	Building Safety and Environmental Engineer
K000001177	Construction Materials Tester
K000000923	Insulation Installer
K000000932	Glazier
K000001034	Window and Door Frame Installer
K000001038	Waterproofing Worker
K000001053	Tile and Marble Setter
K000001102	Plasterer
K000001188	Wallpaper Installer
K000007480	Building Painter
K000000854	Parking Attendant
K000001204	Meter Reader and Gas Inspector
K000007523	Ticket Inspector
K000000846	Funeral Director and Counsellor
K000001167	Wedding Ceremony Attendant
K000008489	Wedding Planner
K000008486	Building Security Guard
K000000875	Human Resources Specialist
K000000944	Management Consultant
K000007562	Labour Attorney
K000001069	Advertising and Marketing Clerk
K000001079	Corporate Planning Clerk
K000001196	HR and Training Clerk
K000001200	Sales Planning and Support Clerk
K000007517	General Affairs Clerk
K000007553	Internal Audit Clerk
K000007495	Firefighter
K000007521	Police Officer
K000007540	Coast Guard Officer
K000007570	Correctional Officer
K000001150	Facility and Special Security Guard
K000001212	Public Security Officer
K000007549	Close Protection Officer
K000000986	Chemical Products Machine Operator
K000001047	Rubber and Plastic Products Assembler
K000001124	Plastic Products Machine Operator
K000001152	Tyre and Rubber Products Machine Operator
K000000882	Jewellery and Gem Craftsperson
K000001077	Craft Artisan
K000000872	Advertising and Public Relations Specialist
K000000955	Event and Conference Planner
K000000997	Product Planning Specialist
K000001139	Market Research Specialist
K000001175	Commissioned Military Officer
K000007508	Non-Commissioned Officer
K000000942	Metals and Materials Engineer
K000001189	Metals and Materials Testing Technician
K000000945	Metalworking Machine Operator
K000001165	Metal Furnace Control Operator
K000001104	Credit Collections Officer
K000001114	Securities Clerk
K000001131	Bank Teller
K000001136	Banking Clerk
K000001162	Insurance Claims Examiner
K000000977	Insurance Agent and Broker
K000001206	Insurance Sales Planner
K000000908	Insurance Underwriter
K000000987	Fund Manager
K000001163	Financial Product Developer
K000001168	Securities and FX Dealer
K000001179	Investment Analyst
K000001215	Credit Analyst
K000006723	Actuary
K000007561	Insurance Loss Adjuster
K000001112	Metal Machine Tool Operator
K000001223	Die and Mould Maker
K000000871	General Machinery Assembler
K000008546	Machine Parts Assembler
K000000860	Robotics Engineer
K000000870	Plant Machinery Engineer
K000000877	Aerospace Engineer
K000001082	Machinery and Robotics Testing Technician
K000001101	Naval Architecture and Ocean Engineer
K000001103	Construction Machinery Engineer
K000001185	Automotive Engineer
K000000885	Lift Installer and Maintenance Technician
K000000886	HVAC and Refrigeration Technician
K000001023	Industrial Machinery Installation and Maintenance Technician
K000001031	Boiler Installer and Maintenance Technician
K000001043	Agricultural Machinery Maintenance Technician
K000001107	Crane and Forklift Maintenance Technician
K000001211	Construction and Mining Machinery Maintenance Technician
K000008545	Robot Installation and Maintenance Technician
K000001004	Technical Sales Representative
K000001195	Commodity Broker and Auctioneer
K000007560	International Sales Representative
K000000937	Newspaper Reporter
K000000966	Magazine Reporter
K000001222	Broadcast Journalist
K000000896	Blasting and Explosives Technician
K000000983	Commercial Diver
K000001062	Railway Track Installer and Maintainer
K000001111	Miner and Stone Cutter
K000000902	Dairy Farm Worker
K000000935	Livestock Farm Worker
K000001013	Heating and Cooling Plant Operator
K000000832	Information Security Specialist
K000000968	Network Systems Engineer
K000001006	Foundry Casting Operator
K000001148	Forging Machine Operator
K000000906	University Professor
K000001220	University Lecturer
K000001080	Data Analyst
K000001134	Data Systems Specialist
K000000831	Industrial Painting Machine Operator
K000000962	Plating and Metal Spraying Operator
K000000850	Care Worker and Nursing Assistant
K000008490	Childcare Helper
K000000890	UX/UI Designer
K000001000	Product Designer
K000001008	Fashion Accessories Designer
K000001060	Visual Designer
K000007454	Fashion Designer
K000007459	Motion Graphics Designer
K000007463	Web Designer
K000007498	Interior Designer
K000007567	Game Graphics Designer
K000000952	Retail Cashier
K000001092	Ticket and Lottery Seller
K000000943	Paper Products Machine Operator
K000001078	Wood Processing Machine Operator
K000001199	Pulp and Paper Plant Operator
K000000843	Logistics and Materials Clerk
K000000918	Trade Clerk
K000000929	Marine and Air Transport Clerk
K000001001	Production and Quality Control Clerk
K000001010	Road and Rail Transport Clerk
K000000837	Foreign Language Instructor
K000000883	Home-Visit Learning Tutor
K000000911	Arts Instructor
K000000947	Academic Subject Instructor
K000000967	Technical and Vocational Instructor
K000007539	Computer Instructor
K000000881	Performing Arts and Music Producer
K000007574	Talent Manager
K000001213	Crane and Hoist Operator
K000007462	Forklift Operator
K000000972	Nail Artist
K000001091	Skin and Body Care Specialist
K000001178	Makeup Artist and Beauty Manager
K000007481	Hairdresser
K000007528	Theatrical Makeup Artist
K000007569	Barber
K000000950	Food Service Manager
K000000989	Cleaning and Security Services Manager
K000000991	Travel and Hotel Manager
K000007477	Pet Groomer
K000001087	Power Generation and Distribution Plant Operator
K000000958	Broadcast Equipment Installer and Repairer
K000001039	Telecommunications Equipment Installer and Repairer
K000001075	Cable Installation and Repair Technician
K000000964	Construction Plumber
K000008484	Industrial Pipefitter
K000001180	Legal Clerk
K000001221	Judicial Scrivener and Court Officer
K000007470	Patent Attorney
K000007482	Lawyer
K000007527	Judge
K000007573	Prosecutor
K000007461	Paramedic
K000007492	Health Information Manager
K000007497	Veterinary Assistant
K000007509	Optician
K000007547	Massage Therapist
K000007576	Nursing Assistant
K000007502	Childcare Teacher
K000007541	Residential Care Worker
K000007536	Real Estate Consultant and Broker
K000000828	Cement and Mineral Products Machine Operator
K000001037	Glass Products Machine Operator
K000001174	Clay Products Machine Operator
K000001197	Ore and Stone Products Machine Operator
K000000857	Social Worker
K000001049	Psychological Counsellor
K000007526	Youth Development Worker
K000007565	Career Counsellor
K000008502	Civil Society Activist
K000000852	Life Sciences Laboratory Technician
K000001140	Life Sciences Researcher
K000001157	Agriculture and Fisheries Laboratory Technician
K000001009	Petroleum and Gas Process Control Operator
K000001054	Chemical Processing Plant Operator
K000000839	Bleaching and Dyeing Machine Operator
K000001072	Textile Manufacturing Machine Operator
K000001145	Weaving and Knitting Machine Operator
K000001123	Textile Engineer
K000001151	Textile and Dye Testing Technician
K000008487	Cleaning and Pest Control Worker
K000000835	Industrial Safety and Risk Officer
K000000953	Fire Protection Engineer
K000007545	Non-Destructive Testing Inspector
K000008548	Disaster Prevention Engineer
K000000853	Systems Software Developer
K000001042	Mobile Application Developer
K000001106	Web Developer
K000001153	Software Test and QA Specialist
K000001172	Web Product Planner
K000001176	Application Software Developer
K000007452	Virtual Reality Specialist
K000007580	Game Programmer
K000001011	Veterinarian
K000000904	Accommodation Service Attendant
K000000867	Professional Athlete
K000000957	Sports Instructor and Trainer
K000000981	Recreation Specialist
K000001027	Sports Head Coach
K000007507	Professional Gamer
K000000913	Restaurant Server
K000000982	Fast Food Preparer
K000001192	Kitchen Assistant
K000000905	Beverage Manufacturing Machine Operator
K000001016	Grain Processing Machine Operator
K000001024	Milling and Rice Processing Machine Operator
K000001045	Fruit and Vegetable Processing Machine Operator
K000001166	Meat and Dairy Processing Machine Operator
K000000841	Kimchi and Side Dish Maker
K000001105	Food and Tobacco Grader
K000001209	Butcher and Meat Processor
K000000970	Food Engineering Laboratory Technician
K000001063	Food Engineer
K000000894	Musical Instrument Maker and Tuner
K000001005	Filling, Packaging and Labelling Machine Operator
K000001020	Sign Maker and Installer
K000000866	Publishing and Editorial Clerk
K000001127	Medical Coordinator
K000001170	Receptionist
K000001183	Stenographer
K000001194	Customer Service Representative
K000001219	Data Entry and Office Support Clerk
K000007478	Executive Secretary
K000008504	Employment Placement Officer
K000008523	Statistics and Data Clerk
K000000993	Pharmacist
K000007474	Herbal Medicine Pharmacist
K000000926	Fisher and Sea Harvester
K000001056	Aquaculture Worker
K000000887	Water Quality Engineer
K000000920	Soil Environment Engineer
K000000938	Air Quality Engineer
K000001026	Noise and Vibration Engineer
K000001036	Gas and Energy Testing Specialist
K000001064	Public Health and Environmental Inspector
K000001084	Gas and Energy Engineer
K000001097	Environmental Engineering Laboratory Technician
K000007554	Waste Treatment Engineer
K000007582	Environmental Impact Assessor
K000008541	Renewable Energy Engineer
K000008542	Renewable Energy Testing Technician
K000001093	Travel Product Developer
K000001187	Travel Agency Clerk
K000001203	Tourism Service Attendant
K000000873	Sound and Recording Engineer
K000000899	Film and Television Actor
K000000901	Theatre and Musical Actor
K000000951	Fashion Model
K000001025	Media Content Creator
K000001099	Video Editor
K000001126	Comedian
K000001138	Television Producer
K000001160	Technical Director for Stage and Screen
K000001161	News Anchor
K000001207	Field Reporter
K000007458	Film Director
K000007460	Commercial Film Director
K000007473	Lighting Technician
K000007476	Voice Actor
K000007503	Theatre Director
K000007543	Camera Operator
K000001144	Dietitian
K000001028	Sales and Retail Manager
K000001094	Transport Operations Manager
K000000979	Amusement Facility Attendant
K000001055	Welder
K000000822	Aircraft Maintenance Technician
K000000976	Ship Maintenance Technician
K000001030	Railway Rolling Stock Technician
