src_item_id,dst_item_id,relation
0,1023,skill_vector
0,1196,related_occupation
0,1587,related_occupation
0,1683,related_occupation
0,1747,skill_vector
0,1950,skill_vector
0,2613,related_occupation
0,3928,skill_vector
0,4132,skill_vector
0,5029,related_occupation
0,5420,skill_vector
0,5421,skill_vector
0,5490,skill_vector
0,5613,skill_vector
0,7558,related_occupation
0,7825,related_occupation
0,10581,related_occupation
0,10672,skill_vector
0,11299,skill_vector
0,11999,skill_vector
1,3188,related_occupation
1,3241,skill_vector
1,3923,skill_vector
1,4754,related_occupation
1,5080,skill_vector
1,5303,skill_vector
1,5769,related_occupation
1,5865,related_occupation
1,6096,skill_vector
1,6499,related_occupation
1,6772,skill_vector
1,6927,related_occupation
1,7052,skill_vector
1,7178,skill_vector
1,9328,skill_vector
1,9665,skill_vector
1,10012,related_occupation
1,10052,skill_vector
1,10883,skill_vector
1,11829,related_occupation
2,376,skill_vector
2,547,related_occupation
2,1856,related_occupation
2,2512,skill_vector
2,2991,related_occupation
2,5673,skill_vector
2,6128,skill_vector
2,6202,related_occupation
2,7032,skill_vector
2,7098,related_occupation
2,7188,related_occupation
2,7202,related_occupation
2,7895,skill_vector
2,7945,related_occupation
2,8499,skill_vector
2,8607,skill_vector
2,9393,skill_vector
2,9426,skill_vector
2,10070,skill_vector
2,10666,skill_vector
3,1449,related_occupation
3,2236,related_occupation
3,2370,skill_vector
3,3131,skill_vector
3,4406,skill_vector
3,4822,skill_vector
3,5687,skill_vector
3,5923,related_occupation
3,5945,related_occupation
3,6042,skill_vector
3,6262,skill_vector
3,6604,skill_vector
3,6864,skill_vector
3,6921,related_occupation
3,8054,related_occupation
3,8472,related_occupation
3,9881,skill_vector
3,10864,skill_vector
3,11147,skill_vector
3,11239,related_occupation
4,3,skill_vector
4,682,related_occupation
4,1536,related_occupation
4,2665,skill_vector
4,3658,skill_vector
4,5782,skill_vector
4,6085,skill_vector
4,6999,related_occupation
4,7412,skill_vector
4,8098,related_occupation
4,9324,skill_vector
4,10318,skill_vector
4,10791,skill_vector
4,11273,skill_vector
4,11297,related_occupation
4,11387,skill_vector
4,11664,related_occupation
4,11919,related_occupation
4,11934,related_occupation
4,11986,skill_vector
5,531,skill_vector
5,988,related_occupation
5,1055,skill_vector
5,1134,related_occupation
5,2465,skill_vector
5,3159,skill_vector
5,4347,related_occupation
5,4433,skill_vector
5,4950,related_occupation
5,5270,related_occupation
5,5892,skill_vector
5,6028,skill_vector
5,6364,related_occupation
5,6722,skill_vector
5,8759,skill_vector
5,9031,skill_vector
5,10463,related_occupation
5,10480,skill_vector
5,10748,related_occupation
5,11280,skill_vector
6,413,skill_vector
6,574,related_occupation
6,2543,skill_vector
6,2723,skill_vector
6,3218,skill_vector
6,3873,related_occupation
6,5562,skill_vector
6,5698,skill_vector
6,5990,related_occupation
6,6392,related_occupation
6,7517,related_occupation
6,8183,skill_vector
6,8322,related_occupation
6,8528,related_occupation
6,8654,skill_vector
6,8824,skill_vector
6,9224,skill_vector
6,9568,skill_vector
6,9958,skill_vector
6,10183,related_occupation
7,76,skill_vector
7,656,related_occupation
7,679,skill_vector
7,3607,skill_vector
7,3945,skill_vector
7,4220,related_occupation
7,4493,skill_vector
7,4600,skill_vector
7,4601,skill_vector
7,5465,skill_vector
7,6403,related_occupation
7,6710,related_occupation
7,6734,related_occupation
7,6922,skill_vector
7,7852,related_occupation
7,8030,related_occupation
7,9493,skill_vector
7,9929,skill_vector
