src_item_id,dst_item_id,relation
0,615,skill_vector
0,1110,related_occupation
0,1736,skill_vector
0,1766,related_occupation
0,2224,skill_vector
0,3066,skill_vector
0,3138,skill_vector
0,3230,skill_vector
0,3462,related_occupation
0,5058,skill_vector
0,6096,skill_vector
0,8145,related_occupation
0,9562,skill_vector
0,9739,skill_vector
0,9929,skill_vector
0,10056,related_occupation
0,10194,related_occupation
0,10738,related_occupation
0,10921,related_occupation
0,11418,skill_vector
1,187,related_occupation
1,587,related_occupation
1,879,skill_vector
1,1572,skill_vector
1,2488,skill_vector
1,3031,related_occupation
1,3924,skill_vector
1,4012,skill_vector
1,4119,related_occupation
1,5400,related_occupation
1,6986,skill_vector
1,7079,related_occupation
1,7727,skill_vector
1,8382,related_occupation
1,8656,skill_vector
1,8677,related_occupation
1,9748,skill_vector
1,9971,skill_vector
1,10105,skill_vector
1,10965,skill_vector
2,352,skill_vector
2,695,skill_vector
2,2004,skill_vector
2,2186,related_occupation
2,2333,related_occupation
2,3085,skill_vector
2,3789,skill_vector
2,3870,skill_vector
2,3998,related_occupation
2,4187,skill_vector
2,4756,related_occupation
2,5481,skill_vector
2,6257,related_occupation
2,6863,related_occupation
2,6945,skill_vector
2,8508,related_occupation
2,9834,skill_vector
2,10366,skill_vector
2,10992,related_occupation
2,11022,skill_vector
3,98,skill_vector
3,796,skill_vector
3,1964,skill_vector
3,2302,skill_vector
3,3339,related_occupation
3,4483,related_occupation
3,4756,related_occupation
3,4768,related_occupation
3,5022,skill_vector
3,5070,skill_vector
3,5619,skill_vector
3,7511,skill_vector
3,7869,related_occupation
3,9542,skill_vector
3,9988,skill_vector
3,10005,related_occupation
3,10154,skill_vector
3,10718,related_occupation
3,10915,related_occupation
3,11972,skill_vector
4,92,related_occupation
4,632,skill_vector
4,885,skill_vector
4,3202,skill_vector
4,3715,related_occupation
4,4984,related_occupation
4,7170,related_occupation
4,8278,skill_vector
4,8607,skill_vector
4,8745,related_occupation
4,8872,skill_vector
4,8961,related_occupation
4,9353,skill_vector
4,9859,related_occupation
4,10381,related_occupation
4,10719,skill_vector
4,11147,skill_vector
4,11221,skill_vector
4,11260,skill_vector
4,11459,skill_vector
5,297,skill_vector
5,549,skill_vector
5,1118,related_occupation
5,2270,related_occupation
5,4409,related_occupation
5,4561,related_occupation
5,4618,skill_vector
5,5118,related_occupation
5,5490,skill_vector
5,6349,skill_vector
5,7227,related_occupation
5,7419,skill_vector
5,7432,skill_vector
5,7561,skill_vector
5,8437,skill_vector
5,8860,related_occupation
5,9005,skill_vector
5,10975,skill_vector
5,10983,skill_vector
5,11345,related_occupation
6,297,skill_vector
6,2693,related_occupation
6,2794,skill_vector
6,4776,skill_vector
6,4828,related_occupation
6,4924,related_occupation
6,5082,skill_vector
6,5530,skill_vector
6,5814,skill_vector
6,7603,related_occupation
6,8081,related_occupation
6,8555,skill_vector
6,9277,skill_vector
6,9328,skill_vector
6,9875,related_occupation
6,10216,related_occupation
6,10317,skill_vector
6,10902,skill_vector
6,11022,skill_vector
6,11082,related_occupation
7,244,related_occupation
7,1046,skill_vector
7,1606,related_occupation
7,1665,skill_vector
7,1704,related_occupation
7,1972,skill_vector
7,2562,related_occupation
7,3052,skill_vector
7,5291,skill_vector
7,6947,skill_vector
7,6975,related_occupation
7,7313,related_occupation
7,8161,skill_vector
7,8267,skill_vector
7,8670,skill_vector
7,9748,skill_vector
7,10070,skill_vector
7,10107,related_occupation
