profile_id,job_cd,job_nm,job_clcd,job_clcd_nm,keco_cd,career_years,edu_level,major_field,major,cert,region,top_skill_1,top_skill_2,top_skill_3
0,K000001209,정육원 가공원 및 도축원,872,식품 가공 기능원,8721,2.5,고졸,공학,,,경기,식품생산 87,신체적 강인성 86,영업과 마케팅 74
1,K000001010,도로 및 철도운송 사무원,028,무역·운송·생산·품질 사무원,0282,1.0,대졸,사회,,,부산,운송 94,사무 69,통신 66
2,K000001001,생산 및 품질관리 사무원,028,무역·운송·생산·품질 사무원,0285,2.7,대졸,사회,,,부산,모니터링(Monitoring) 100,전산 97,품질관리분석 93
3,K000000997,상품 기획 전문가,024,광고·조사·상품기획·행사기획 전문가,0243,3.4,대졸,공학,,"전자상거래관리사 1,2급(국가기술)",서울,설득 97,창의력 91,경영 및 행정 90
4,K000007560,해외영업원,612,기술·해외 영업원 및 상품중개인,6122,4.1,대졸,사회,,유통관리사(국가전문),경기,말하기 100,기억력 94,사람 파악 93
5,K000000864,재활공학기사(의지보조기기사),306,의료기사·치료사·재활사,3067,1.7,전문대졸,의약,,,인천,디자인 91,장비 선정 87,공학과 기술 81
6,K000000976,선박 정비원,812,운송장비 정비원,8122,4.1,전문대졸,공학,,용접기능사(국가기술),서울,고장의 발견.수리 83,유연성 및 균형 82,기계 80
7,K000001109,단말기 및 통신 서비스 판매원,615,판매 종사자,6153,5.0,고졸,사회,,텔레마케팅관리사(한국산업인력공단),서울,협상 88,사람 파악 84,영업과 마케팅 82
8,K000001113,특수교육 교사,212,학교 교사,2123,3.8,대졸,교육,,"특수학교 1, 2급 정교사(국가전문)",세종,청력 97,학습전략 92,가르치기 89
9,K000000916,상하수도 처리장치 조작원,853,환경관련 장치 조작원,8531,3.0,전문대졸,자연,,,세종,조작 및 통제 97,작동 점검 88,기계 77
10,K000000885,승강기 설치 및 정비원,811,기계장비 설치·정비원(운송장비 제외),8113,4.2,전문대졸,공학,,"승강기기능사, 산업기사, 기사(국가기술)",인천,설치 89,고장의 발견.수리 84,장비 선정 82
11,K000000975,발전설비기술자,153,전기·전자공학 기술자 및 시험원,1531,1.6,대졸,공학,전기공학과,"신재생에너지발전설비산업기사, 기사《태양광》(국가기술)",서울,조작 및 통제 100,장비의 유지 100,작동 점검 97
12,K000007573,검사,221,법률 전문가,2211,3.1,대졸,사회,,,경기,논리적 분석 97,선택적 집중력 90,읽고 이해하기 90
13,K000008542,신재생에너지 시험원,155,에너지·환경공학 기술자 및 시험원,1554,2.9,박사,공학,,,경기,기술 설계 100,고장의 발견.수리 93,수리력 91
14,K000001162,보험 심사원 및 사무원,032,금융·보험 사무원,0323,8.5,석사,인문,,,부산,협상 100,법 100,판단과 의사결정 90
15,K000001215,신용분석사,031,금융·보험 전문가,0311,7.4,대졸,자연,,신용위험분석사(국가공인 민간),경기,경영 및 행정 100,판단과 의사결정 100,범주화 100
16,K000001016,곡물가공 제품 기계 조작원,873,식품 가공 기계 조작원,8733,0.7,대졸,자연,,,서울,반응시간과 속도 99,장비 선정 97,유연성 및 균형 91
17,K000007497,수의사 보조원(동물보건사),307,보건·의료 종사자,3077,4.6,대졸,자연,,동물간호복지사,충북,의료 89,생물 82,시력 64
18,K000007526,청소년지도사,231,사회복지사 및 상담사,2313,3.7,대졸,공학,,,서울,교육 및 훈련 94,예술 87,듣고 이해하기 84
19,K000007467,콘크리트공,701,건설구조 기능원,7014,3.2,대졸,사회,,,울산,기계 86,건축 및 설계 79,움직임 통제 79
20,K000007507,프로게이머,420,스포츠·레크리에이션 종사자,4202,8.3,전문대졸,공학,,,경기,모니터링(Monitoring) 100,기억력 100,반응시간과 속도 100
21,K000001016,곡물가공 제품 기계 조작원,873,식품 가공 기계 조작원,8733,1.1,대졸,공학,,식품가공기능사(국가기술),서울,기계 100,고장의 발견.수리 96,시력 85
22,K000001112,금속 공작기계 조작원,813,금형원 및 공작기계 조작원,8132,2.3,고졸,인문,컴퓨터응용기계과,,전남,기계 92,움직임 통제 92,장비의 유지 90
23,K000001110,국악인,414,"창작·공연 전문가(작가, 연극 제외)",4144,6.3,대졸,예체능,무용학과,,경기,예술 92,청력 86,창의력 80
24,K000000857,사회복지사,231,사회복지사 및 상담사,2311,1.0,대졸,사회,,,부산,협상 97,학습전략 94,행동조정 93
