건축 및 설계	Building and Construction
경영 및 행정	Administration and Management
경제와 회계	Economics and Accounting
고객서비스	Customer and Personal Service
공학과 기술	Engineering and Technology
교육 및 훈련	Education and Training
국어	Native Language
기계	Mechanical
디자인	Design
물리	Physics
법	Law and Government
사무	Clerical
사회와 인류	Sociology and Anthropology
산수와 수학	Mathematics
상담	Therapy and Counseling
상품 제조 및 공정	Production and Processing
생물	Biology
식품생산	Food Production
심리	Psychology
안전과 보안	Public Safety and Security
역사	History and Archeology
영어	English Language
영업과 마케팅	Sales and Marketing
예술	Fine Arts
운송	Transportation
의료	Medicine and Dentistry
의사소통과 미디어	Communications and Media
인사	Personnel and Human Resources
지리	Geography
철학과 신학	Philosophy and Theology
컴퓨터와 전자공학	Computers and Electronics
통신	Telecommunications
화학	Chemistry
가르치기	Instructing
고장의 발견.수리	Troubleshooting
공간지각력	Spatial Orientation
글쓰기	Writing
기술 분석	Technology Analysis
기술 설계	Technology Design
기억력	Memorization
논리적 분석	Deductive Reasoning
듣고 이해하기	Active Listening
말하기	Speaking
모니터링(Monitoring)	Monitoring
문제 해결	Complex Problem Solving
물적자원 관리	Management of Material Resources
반응시간과 속도	Reaction Time and Speed
범주화	Category Flexibility
사람 파악	Social Perceptiveness
서비스 지향	Service Orientation
선택적 집중력	Selective Attention
설득	Persuasion
설치	Installation
수리력	Number Facility
시간 관리	Time Management
시력	Visual Acuity
신체적 강인성	Physical Strength
움직임 통제	Control Precision
유연성 및 균형	Flexibility and Balance
인적자원 관리	Management of Personnel Resources
읽고 이해하기	Reading Comprehension
작동 점검	Operation Monitoring
장비 선정	Equipment Selection
장비의 유지	Equipment Maintenance
재정 관리	Management of Financial Resources
전산	Programming
정교한 동작	Finger Dexterity
조작 및 통제	Operation and Control
조직체계의 분석 및 평가	Systems Analysis and Evaluation
창의력	Originality
청력	Auditory Attention
추리력	Inductive Reasoning
판단과 의사결정	Judgment and Decision Making
품질관리분석	Quality Control Analysis
학습전략	Learning Strategies
행동조정	Coordination
협상	Negotiation
